participant_id,condition,status,demographics,trials_completed,trust_responses,started_at,completed_at
P-94DD6B17,control,completed,"{""ageRange"": ""55-64"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-22T05:07:00,2026-03-22T05:31:00
P-97DEE2B3,control,completed,"{""ageRange"": ""18-24"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-16T06:05:00,2026-03-16T06:18:00
P-E96919DA,control,completed,"{""ageRange"": ""35-44"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-20T02:53:00,2026-03-20T03:14:00
P-DFEAB985,control,completed,"{""ageRange"": ""18-24"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-20T20:30:00,2026-03-20T20:52:00
P-DCEFEE05,control,completed,"{""ageRange"": ""55-64"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-23T17:52:00,2026-03-23T18:16:00
P-994939F9,control,completed,"{""ageRange"": ""45-54"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-23T13:13:00,2026-03-23T13:37:00
P-51E9B5F9,control,completed,"{""ageRange"": ""65+"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-24T15:09:00,2026-03-24T15:26:00
P-F8AAE1BD,control,completed,"{""ageRange"": ""55-64"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-18T07:53:00,2026-03-18T08:09:00
P-73DBF156,control,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-23T21:44:00,2026-03-23T22:02:00
P-9EDF1A0E,control,completed,"{""ageRange"": ""45-54"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-18T00:27:00,2026-03-18T00:39:00
P-6D93D9A2,control,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-24T01:50:00,2026-03-24T02:07:00
P-FADEFD33,control,completed,"{""ageRange"": ""55-64"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-23T22:33:00,2026-03-23T22:54:00
P-A4B173F2,control,completed,"{""ageRange"": ""55-64"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-19T00:53:00,2026-03-19T01:17:00
P-0637F846,control,completed,"{""ageRange"": ""25-34"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-15T18:36:00,2026-03-15T18:53:00
P-C26BD0D4,control,completed,"{""ageRange"": ""45-54"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-18T04:41:00,2026-03-18T04:56:00
P-7EC8DF17,control,completed,"{""ageRange"": ""35-44"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-22T06:42:00,2026-03-22T07:02:00
P-385CC7D2,control,completed,"{""ageRange"": ""35-44"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-18T14:43:00,2026-03-18T14:57:00
P-A0A7AB4E,control,completed,"{""ageRange"": ""65+"", ""education"": ""Some college"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-21T13:50:00,2026-03-21T14:03:00
P-FCD5108B,control,completed,"{""ageRange"": ""18-24"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-16T21:36:00,2026-03-16T21:55:00
P-0FE954B1,control,completed,"{""ageRange"": ""18-24"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-16T07:23:00,2026-03-16T07:36:00
P-8D2BAD70,control,completed,"{""ageRange"": ""18-24"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-16T18:47:00,2026-03-16T19:12:00
P-A001A73E,control,completed,"{""ageRange"": ""65+"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-19T05:25:00,2026-03-19T05:46:00
P-A3646175,control,completed,"{""ageRange"": ""55-64"", ""education"": ""Some college"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-16T11:21:00,2026-03-16T11:45:00
P-45DFA3E0,control,completed,"{""ageRange"": ""25-34"", ""education"": ""Some college"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-18T14:05:00,2026-03-18T14:27:00
P-B36B36AA,control,completed,"{""ageRange"": ""65+"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-16T19:41:00,2026-03-16T19:53:00
P-72D8BDD5,control,completed,"{""ageRange"": ""35-44"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-18T12:29:00,2026-03-18T12:42:00
P-AE2EFD98,control,completed,"{""ageRange"": ""35-44"", ""education"": ""Some college"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-22T13:55:00,2026-03-22T14:17:00
P-9BBF6D5F,control,completed,"{""ageRange"": ""18-24"", ""education"": ""Some college"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-19T20:43:00,2026-03-19T21:08:00
P-99A2C407,control,completed,"{""ageRange"": ""18-24"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-22T17:09:00,2026-03-22T17:32:00
P-927730BE,control,completed,"{""ageRange"": ""18-24"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-21T04:30:00,2026-03-21T04:54:00
P-80126FE7,humanlike,completed,"{""ageRange"": ""55-64"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-20T00:33:00,2026-03-20T00:58:00
P-583CD833,humanlike,completed,"{""ageRange"": ""65+"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-15T17:30:00,2026-03-15T17:52:00
P-BBA23257,humanlike,completed,"{""ageRange"": ""25-34"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-16T06:24:00,2026-03-16T06:36:00
P-3C253927,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-23T22:31:00,2026-03-23T22:53:00
P-97369B73,humanlike,completed,"{""ageRange"": ""25-34"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-17T15:41:00,2026-03-17T15:55:00
P-9DB5FD33,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-20T13:35:00,2026-03-20T13:49:00
P-C383BD8D,humanlike,completed,"{""ageRange"": ""65+"", ""education"": ""Some college"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-18T19:56:00,2026-03-18T20:12:00
P-4F663F95,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-21T21:56:00,2026-03-21T22:10:00
P-58F5FC54,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""Some experience""}",15,7,2026-03-24T15:50:00,2026-03-24T16:03:00
P-372E7D2A,humanlike,completed,"{""ageRange"": ""65+"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""Expert / Professional""}",15,7,2026-03-20T13:24:00,2026-03-20T13:46:00
P-7AD97472,humanlike,completed,"{""ageRange"": ""45-54"", ""education"": ""Bachelor's degree"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-20T10:36:00,2026-03-20T10:58:00
P-66719511,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""High school or equivalent"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-16T01:16:00,2026-03-16T01:30:00
P-2E1C93E8,humanlike,completed,"{""ageRange"": ""25-34"", ""education"": ""Doctoral degree"", ""aiFamiliarity"": ""No experience""}",15,7,2026-03-21T14:02:00,2026-03-21T14:23:00
P-993B989A,humanlike,completed,"{""ageRange"": ""35-44"", ""education"": ""Some college"", ""aiFamiliarity"": ""Regular use""}",15,7,2026-03-22T20:52:00,2026-03-22T21:16:00
P-4B796A55,humanlike,completed,"{""ageRange"": ""25-34"", ""education"": ""Master's degree"", ""aiFamiliarity"": ""Minimal experience""}",15,7,2026-03-22T00:59:00,2026-03-22T01:17:00
