participant_id,condition,trial_number,scenario_id,ai_recommendation,ai_is_correct,correct_answer,participant_decision,participant_override,confidence_rating,decision_latency_ms,total_trial_duration_ms,ai_confidence_display,timestamp
P-94DD6B17,control,3,s14,reject,True,reject,accept,,5,10437,14425,,2026-03-22T05:07:14
P-94DD6B17,control,4,s17,reject,True,reject,accept,,5,6679,10212,,2026-03-22T05:07:56
P-94DD6B17,control,5,s13,approve,True,approve,accept,,5,6311,7637,,2026-03-22T05:08:37
P-94DD6B17,control,6,s11,reject,True,reject,accept,,3,6317,8772,,2026-03-22T05:09:21
P-94DD6B17,control,7,s18,reject,False,approve,override,approve,3,5729,7429,,2026-03-22T05:10:17
P-94DD6B17,control,8,s04,approve,True,approve,accept,,4,6723,7952,,2026-03-22T05:10:52
P-94DD6B17,control,9,s15,reject,False,approve,accept,,3,3617,6940,,2026-03-22T05:11:40
P-94DD6B17,control,10,s08,reject,True,reject,override,approve,1,15510,17081,,2026-03-22T05:12:22
P-94DD6B17,control,11,s21,reject,True,reject,override,approve,4,6198,8833,,2026-03-22T05:13:11
P-94DD6B17,control,12,s05,approve,True,approve,accept,,5,18705,20154,,2026-03-22T05:13:49
P-94DD6B17,control,13,s20,reject,False,approve,override,approve,2,6086,9526,,2026-03-22T05:14:44
P-94DD6B17,control,14,s07,approve,True,approve,override,reject,3,9161,10630,,2026-03-22T05:15:32
P-94DD6B17,control,15,s12,reject,True,reject,accept,,4,3367,6225,,2026-03-22T05:16:00
P-94DD6B17,control,16,s22,reject,False,approve,accept,,4,6746,8181,,2026-03-22T05:17:05
P-94DD6B17,control,17,s06,approve,True,approve,override,reject,2,16360,18021,,2026-03-22T05:17:47
P-97DEE2B3,control,3,s20,reject,False,approve,accept,,3,9231,12971,,2026-03-16T06:05:15
P-97DEE2B3,control,4,s08,approve,True,approve,accept,,4,7465,9460,,2026-03-16T06:06:00
P-97DEE2B3,control,5,s13,approve,True,approve,override,reject,2,15795,18478,,2026-03-16T06:06:44
P-97DEE2B3,control,6,s15,approve,True,approve,override,reject,1,5848,8497,,2026-03-16T06:07:25
P-97DEE2B3,control,7,s10,approve,True,approve,override,reject,3,11070,13798,,2026-03-16T06:08:05
P-97DEE2B3,control,8,s03,approve,True,approve,accept,,5,9337,12591,,2026-03-16T06:08:48
P-97DEE2B3,control,9,s18,reject,False,approve,accept,,5,15222,16903,,2026-03-16T06:09:43
P-97DEE2B3,control,10,s19,approve,True,approve,accept,,3,12769,13777,,2026-03-16T06:10:27
P-97DEE2B3,control,11,s21,approve,False,reject,accept,,4,7482,10758,,2026-03-16T06:11:15
P-97DEE2B3,control,12,s14,reject,True,reject,accept,,4,8709,9958,,2026-03-16T06:11:55
P-97DEE2B3,control,13,s04,reject,True,reject,accept,,3,2629,5709,,2026-03-16T06:12:32
P-97DEE2B3,control,14,s16,approve,True,approve,override,reject,2,6212,7703,,2026-03-16T06:13:33
P-97DEE2B3,control,15,s22,approve,True,approve,accept,,4,6211,9352,,2026-03-16T06:14:10
P-97DEE2B3,control,16,s11,approve,True,approve,override,reject,2,9412,10948,,2026-03-16T06:15:05
P-97DEE2B3,control,17,s17,approve,False,reject,accept,,1,14841,18385,,2026-03-16T06:15:48
P-E96919DA,control,3,s09,reject,True,reject,accept,,3,8614,11423,,2026-03-20T02:53:17
P-E96919DA,control,4,s06,approve,True,approve,accept,,4,4799,7311,,2026-03-20T02:54:03
P-E96919DA,control,5,s08,reject,True,reject,accept,,5,7469,8632,,2026-03-20T02:54:41
P-E96919DA,control,6,s22,reject,True,reject,accept,,5,10701,12334,,2026-03-20T02:55:22
P-E96919DA,control,7,s11,reject,True,reject,accept,,1,2333,4693,,2026-03-20T02:56:13
P-E96919DA,control,8,s20,approve,False,reject,override,reject,2,3673,7545,,2026-03-20T02:56:48
P-E96919DA,control,9,s13,approve,True,approve,accept,,5,9067,11952,,2026-03-20T02:57:41
P-E96919DA,control,10,s19,reject,False,approve,accept,,4,13525,16157,,2026-03-20T02:58:25
P-E96919DA,control,11,s05,reject,True,reject,override,approve,3,12504,15141,,2026-03-20T02:59:17
P-E96919DA,control,12,s12,approve,False,reject,override,reject,2,11854,13941,,2026-03-20T02:59:46
P-E96919DA,control,13,s17,reject,True,reject,accept,,4,10517,13611,,2026-03-20T03:00:33
P-E96919DA,control,14,s04,reject,True,reject,accept,,1,11097,14302,,2026-03-20T03:01:21
P-E96919DA,control,15,s15,reject,True,reject,override,approve,3,12168,15885,,2026-03-20T03:02:03
P-E96919DA,control,16,s03,approve,False,reject,accept,,3,6010,9865,,2026-03-20T03:02:54
P-E96919DA,control,17,s16,reject,True,reject,override,approve,3,10195,11907,,2026-03-20T03:03:49
P-DFEAB985,control,3,s14,reject,True,reject,accept,,5,10659,13528,,2026-03-20T20:30:04
P-DFEAB985,control,4,s15,reject,True,reject,override,approve,3,18865,22811,,2026-03-20T20:31:01
P-DFEAB985,control,5,s20,reject,True,reject,accept,,4,12452,14513,,2026-03-20T20:31:37
P-DFEAB985,control,6,s11,reject,True,reject,override,approve,3,11519,13643,,2026-03-20T20:32:29
P-DFEAB985,control,7,s07,approve,False,reject,accept,,5,8764,10094,,2026-03-20T20:33:04
P-DFEAB985,control,8,s05,reject,True,reject,accept,,2,6879,9548,,2026-03-20T20:33:55
P-DFEAB985,control,9,s10,reject,True,reject,override,approve,2,17869,21261,,2026-03-20T20:34:30
P-DFEAB985,control,10,s04,reject,True,reject,override,approve,2,1950,4547,,2026-03-20T20:35:28
P-DFEAB985,control,11,s16,approve,True,approve,accept,,4,6111,8703,,2026-03-20T20:36:10
P-DFEAB985,control,12,s03,reject,True,reject,override,approve,4,9842,13390,,2026-03-20T20:37:02
P-DFEAB985,control,13,s22,reject,True,reject,accept,,2,4792,7547,,2026-03-20T20:37:34
P-DFEAB985,control,14,s12,approve,True,approve,override,reject,2,14667,17005,,2026-03-20T20:38:25
P-DFEAB985,control,15,s17,approve,False,reject,override,reject,3,9356,10691,,2026-03-20T20:39:15
P-DFEAB985,control,16,s13,reject,False,approve,accept,,4,11284,14953,,2026-03-20T20:39:46
P-DFEAB985,control,17,s21,reject,False,approve,override,approve,2,11297,12814,,2026-03-20T20:40:45
P-DCEFEE05,control,3,s07,approve,False,reject,override,reject,3,7027,10231,,2026-03-23T17:52:15
P-DCEFEE05,control,4,s20,reject,True,reject,override,approve,4,12645,13999,,2026-03-23T17:52:53
P-DCEFEE05,control,5,s17,approve,False,reject,accept,,3,6981,10005,,2026-03-23T17:53:40
P-DCEFEE05,control,6,s03,reject,True,reject,override,approve,2,13499,16940,,2026-03-23T17:54:23
P-DCEFEE05,control,7,s18,approve,True,approve,accept,,4,7257,10258,,2026-03-23T17:55:17
P-DCEFEE05,control,8,s06,approve,False,reject,override,reject,3,5083,6153,,2026-03-23T17:55:47
P-DCEFEE05,control,9,s04,reject,True,reject,accept,,4,11436,14610,,2026-03-23T17:56:41
P-DCEFEE05,control,10,s10,reject,True,reject,accept,,3,10740,12769,,2026-03-23T17:57:22
P-DCEFEE05,control,11,s14,approve,True,approve,accept,,3,9849,12832,,2026-03-23T17:58:08
P-DCEFEE05,control,12,s08,approve,False,reject,override,reject,4,1950,3745,,2026-03-23T17:58:54
P-DCEFEE05,control,13,s21,approve,True,approve,accept,,3,10367,11590,,2026-03-23T17:59:47
P-DCEFEE05,control,14,s16,reject,True,reject,override,approve,1,20088,21138,,2026-03-23T18:00:33
P-DCEFEE05,control,15,s19,approve,True,approve,accept,,3,11844,14800,,2026-03-23T18:01:03
P-DCEFEE05,control,16,s05,approve,True,approve,accept,,3,5770,9075,,2026-03-23T18:01:54
P-DCEFEE05,control,17,s22,reject,True,reject,accept,,4,9655,13188,,2026-03-23T18:02:37
P-994939F9,control,3,s17,approve,True,approve,accept,,2,13211,14890,,2026-03-23T13:13:09
P-994939F9,control,4,s07,reject,True,reject,override,approve,2,6979,9627,,2026-03-23T13:13:53
P-994939F9,control,5,s14,reject,True,reject,accept,,5,4755,7075,,2026-03-23T13:14:49
P-994939F9,control,6,s15,approve,True,approve,accept,,5,9093,12497,,2026-03-23T13:15:15
P-994939F9,control,7,s21,approve,False,reject,override,reject,2,5175,8300,,2026-03-23T13:16:20
P-994939F9,control,8,s06,reject,True,reject,accept,,4,10161,13175,,2026-03-23T13:16:47
P-994939F9,control,9,s04,approve,False,reject,accept,,5,6266,8616,,2026-03-23T13:17:43
P-994939F9,control,10,s19,reject,True,reject,accept,,5,6915,8065,,2026-03-23T13:18:29
P-994939F9,control,11,s03,approve,False,reject,accept,,4,4967,8074,,2026-03-23T13:19:00
P-994939F9,control,12,s12,reject,True,reject,accept,,3,6846,9887,,2026-03-23T13:20:05
P-994939F9,control,13,s11,approve,True,approve,accept,,5,9589,12383,,2026-03-23T13:20:45
P-994939F9,control,14,s05,reject,False,approve,accept,,1,7852,10523,,2026-03-23T13:21:17
P-994939F9,control,15,s22,approve,True,approve,accept,,5,7044,10085,,2026-03-23T13:22:09
P-994939F9,control,16,s16,reject,True,reject,accept,,4,5530,8400,,2026-03-23T13:23:02
P-994939F9,control,17,s18,approve,True,approve,accept,,5,11652,12937,,2026-03-23T13:23:38
P-51E9B5F9,control,3,s15,approve,True,approve,accept,,4,12363,16044,,2026-03-24T15:09:04
P-51E9B5F9,control,4,s18,approve,False,reject,accept,,4,10870,13215,,2026-03-24T15:10:02
P-51E9B5F9,control,5,s03,reject,True,reject,override,approve,4,13379,14526,,2026-03-24T15:10:49
P-51E9B5F9,control,6,s12,approve,True,approve,override,reject,3,13344,16121,,2026-03-24T15:11:18
P-51E9B5F9,control,7,s06,approve,True,approve,accept,,4,3829,4947,,2026-03-24T15:12:01
P-51E9B5F9,control,8,s21,reject,True,reject,accept,,2,9410,12585,,2026-03-24T15:12:58
P-51E9B5F9,control,9,s08,approve,True,approve,accept,,4,6358,8924,,2026-03-24T15:13:49
P-51E9B5F9,control,10,s17,approve,True,approve,accept,,4,5285,7325,,2026-03-24T15:14:29
P-51E9B5F9,control,11,s09,reject,True,reject,override,approve,3,11585,13232,,2026-03-24T15:15:02
P-51E9B5F9,control,12,s14,approve,False,reject,override,reject,3,12334,15205,,2026-03-24T15:15:54
P-51E9B5F9,control,13,s20,reject,False,approve,accept,,3,11307,13777,,2026-03-24T15:16:48
P-51E9B5F9,control,14,s13,reject,True,reject,accept,,3,12958,16276,,2026-03-24T15:17:16
P-51E9B5F9,control,15,s04,approve,False,reject,override,reject,4,7615,9557,,2026-03-24T15:18:19
P-51E9B5F9,control,16,s22,reject,True,reject,accept,,4,6501,10453,,2026-03-24T15:18:49
P-51E9B5F9,control,17,s05,reject,True,reject,override,approve,4,4966,6102,,2026-03-24T15:19:48
P-F8AAE1BD,control,3,s03,reject,False,approve,override,approve,3,7727,11598,,2026-03-18T07:53:09
P-F8AAE1BD,control,4,s04,approve,True,approve,override,reject,2,17070,20087,,2026-03-18T07:53:48
P-F8AAE1BD,control,5,s16,approve,True,approve,accept,,5,6289,10141,,2026-03-18T07:54:47
P-F8AAE1BD,control,6,s11,reject,False,approve,accept,,5,11790,15311,,2026-03-18T07:55:28
P-F8AAE1BD,control,7,s18,reject,True,reject,override,approve,3,14722,16689,,2026-03-18T07:56:11
P-F8AAE1BD,control,8,s17,reject,True,reject,accept,,3,1500,4130,,2026-03-18T07:56:53
P-F8AAE1BD,control,9,s19,approve,True,approve,accept,,2,13809,15677,,2026-03-18T07:57:50
P-F8AAE1BD,control,10,s10,approve,True,approve,override,reject,4,14387,17699,,2026-03-18T07:58:21
P-F8AAE1BD,control,11,s08,reject,False,approve,accept,,3,3795,5399,,2026-03-18T07:59:19
P-F8AAE1BD,control,12,s14,approve,True,approve,accept,,5,12228,13678,,2026-03-18T07:59:45
P-F8AAE1BD,control,13,s06,reject,True,reject,accept,,3,9049,10762,,2026-03-18T08:00:38
P-F8AAE1BD,control,14,s22,approve,False,reject,accept,,4,3602,6084,,2026-03-18T08:01:31
P-F8AAE1BD,control,15,s13,reject,True,reject,accept,,1,1500,5198,,2026-03-18T08:02:16
P-F8AAE1BD,control,16,s20,approve,True,approve,accept,,4,11678,15488,,2026-03-18T08:02:48
P-F8AAE1BD,control,17,s21,reject,True,reject,accept,,4,9602,10871,,2026-03-18T08:03:34
P-73DBF156,control,3,s19,approve,True,approve,accept,,4,6508,10233,,2026-03-23T21:44:13
P-73DBF156,control,4,s21,reject,True,reject,override,approve,2,6455,9822,,2026-03-23T21:45:01
P-73DBF156,control,5,s18,reject,False,approve,accept,,3,12767,16045,,2026-03-23T21:45:41
P-73DBF156,control,6,s22,reject,True,reject,accept,,5,10101,13647,,2026-03-23T21:46:34
P-73DBF156,control,7,s07,reject,True,reject,override,approve,1,6617,8736,,2026-03-23T21:47:09
P-73DBF156,control,8,s03,approve,True,approve,accept,,4,7179,9820,,2026-03-23T21:47:47
P-73DBF156,control,9,s15,reject,False,approve,accept,,3,11805,14663,,2026-03-23T21:48:40
P-73DBF156,control,10,s05,approve,True,approve,accept,,5,10666,12303,,2026-03-23T21:49:20
P-73DBF156,control,11,s14,reject,True,reject,accept,,4,7541,10530,,2026-03-23T21:50:19
P-73DBF156,control,12,s13,approve,True,approve,override,reject,2,12158,13612,,2026-03-23T21:50:54
P-73DBF156,control,13,s04,reject,True,reject,accept,,1,4879,7497,,2026-03-23T21:51:49
P-73DBF156,control,14,s10,reject,False,approve,override,approve,4,11939,14124,,2026-03-23T21:52:25
P-73DBF156,control,15,s12,approve,True,approve,accept,,3,10908,14790,,2026-03-23T21:53:07
P-73DBF156,control,16,s16,reject,False,approve,override,approve,2,11037,12210,,2026-03-23T21:53:58
P-73DBF156,control,17,s17,reject,True,reject,accept,,4,9294,13200,,2026-03-23T21:54:50
P-9EDF1A0E,control,3,s19,approve,False,reject,override,reject,2,14653,15932,,2026-03-18T00:27:15
P-9EDF1A0E,control,4,s14,reject,True,reject,accept,,3,9651,10954,,2026-03-18T00:27:54
P-9EDF1A0E,control,5,s09,approve,True,approve,accept,,2,13805,15174,,2026-03-18T00:28:49
P-9EDF1A0E,control,6,s16,approve,False,reject,override,reject,4,6227,7395,,2026-03-18T00:29:29
P-9EDF1A0E,control,7,s12,approve,True,approve,override,reject,2,9124,10377,,2026-03-18T00:30:14
P-9EDF1A0E,control,8,s03,approve,False,reject,accept,,4,9751,10911,,2026-03-18T00:30:52
P-9EDF1A0E,control,9,s15,reject,True,reject,override,approve,2,5760,7918,,2026-03-18T00:31:42
P-9EDF1A0E,control,10,s04,reject,True,reject,accept,,4,8074,10444,,2026-03-18T00:32:17
P-9EDF1A0E,control,11,s21,reject,True,reject,accept,,4,7475,10943,,2026-03-18T00:33:04
P-9EDF1A0E,control,12,s06,approve,True,approve,accept,,4,10739,14451,,2026-03-18T00:33:57
P-9EDF1A0E,control,13,s13,reject,False,approve,accept,,5,7433,8956,,2026-03-18T00:34:46
P-9EDF1A0E,control,14,s17,reject,True,reject,accept,,3,7925,9802,,2026-03-18T00:35:25
P-9EDF1A0E,control,15,s08,reject,True,reject,override,approve,2,17468,19679,,2026-03-18T00:36:03
P-9EDF1A0E,control,16,s20,approve,True,approve,accept,,4,5276,8722,,2026-03-18T00:36:57
P-9EDF1A0E,control,17,s18,approve,True,approve,accept,,5,11019,12697,,2026-03-18T00:37:44
P-6D93D9A2,control,3,s18,reject,True,reject,override,approve,4,9556,10665,,2026-03-24T01:50:13
P-6D93D9A2,control,4,s19,reject,False,approve,accept,,3,9663,10778,,2026-03-24T01:50:55
P-6D93D9A2,control,5,s13,approve,True,approve,accept,,2,6084,8259,,2026-03-24T01:51:45
P-6D93D9A2,control,6,s16,reject,True,reject,override,approve,3,9038,10362,,2026-03-24T01:52:15
P-6D93D9A2,control,7,s09,approve,False,reject,override,reject,1,18447,20627,,2026-03-24T01:53:07
P-6D93D9A2,control,8,s04,reject,True,reject,accept,,2,9390,12437,,2026-03-24T01:54:04
P-6D93D9A2,control,9,s15,approve,True,approve,override,reject,2,9811,10817,,2026-03-24T01:54:49
P-6D93D9A2,control,10,s06,approve,True,approve,accept,,4,11615,14092,,2026-03-24T01:55:17
P-6D93D9A2,control,11,s11,reject,False,approve,override,approve,2,9638,12563,,2026-03-24T01:56:01
P-6D93D9A2,control,12,s17,approve,True,approve,accept,,3,2139,3415,,2026-03-24T01:56:56
P-6D93D9A2,control,13,s08,reject,True,reject,accept,,2,12882,15325,,2026-03-24T01:57:47
P-6D93D9A2,control,14,s05,reject,True,reject,override,approve,4,15801,18761,,2026-03-24T01:58:35
P-6D93D9A2,control,15,s07,reject,True,reject,override,approve,1,12961,14786,,2026-03-24T01:59:01
P-6D93D9A2,control,16,s03,approve,False,reject,accept,,4,2457,5681,,2026-03-24T02:00:00
P-6D93D9A2,control,17,s20,reject,True,reject,accept,,5,13518,14713,,2026-03-24T02:00:50
P-FADEFD33,control,3,s13,approve,True,approve,override,reject,3,14461,15978,,2026-03-23T22:33:02
P-FADEFD33,control,4,s21,reject,True,reject,accept,,1,3751,5379,,2026-03-23T22:33:59
P-FADEFD33,control,5,s19,reject,True,reject,override,approve,1,9584,12087,,2026-03-23T22:34:42
P-FADEFD33,control,6,s16,reject,True,reject,accept,,4,8503,11547,,2026-03-23T22:35:31
P-FADEFD33,control,7,s11,approve,True,approve,accept,,4,8327,11833,,2026-03-23T22:36:09
P-FADEFD33,control,8,s08,reject,True,reject,accept,,2,8998,10705,,2026-03-23T22:36:59
P-FADEFD33,control,9,s12,approve,False,reject,override,reject,3,8022,10211,,2026-03-23T22:37:39
P-FADEFD33,control,10,s09,approve,True,approve,override,reject,1,12309,14132,,2026-03-23T22:38:19
P-FADEFD33,control,11,s15,reject,True,reject,accept,,3,12260,15519,,2026-03-23T22:39:04
P-FADEFD33,control,12,s07,reject,False,approve,override,approve,3,14648,17608,,2026-03-23T22:40:01
P-FADEFD33,control,13,s18,reject,True,reject,accept,,5,9022,12653,,2026-03-23T22:40:32
P-FADEFD33,control,14,s14,approve,False,reject,accept,,4,12402,15809,,2026-03-23T22:41:20
P-FADEFD33,control,15,s22,approve,True,approve,accept,,2,2487,3995,,2026-03-23T22:42:16
P-FADEFD33,control,16,s06,reject,False,approve,accept,,3,12182,15307,,2026-03-23T22:42:54
P-FADEFD33,control,17,s05,reject,True,reject,accept,,3,10985,14545,,2026-03-23T22:43:39
P-A4B173F2,control,3,s03,approve,True,approve,override,reject,4,3342,6451,,2026-03-19T00:53:17
P-A4B173F2,control,4,s11,reject,True,reject,accept,,3,9880,11276,,2026-03-19T00:53:46
P-A4B173F2,control,5,s15,approve,True,approve,accept,,5,11360,13014,,2026-03-19T00:54:40
P-A4B173F2,control,6,s08,reject,False,approve,accept,,4,6561,9669,,2026-03-19T00:55:29
P-A4B173F2,control,7,s18,reject,True,reject,accept,,4,8520,10506,,2026-03-19T00:56:06
P-A4B173F2,control,8,s06,reject,True,reject,accept,,3,8026,9059,,2026-03-19T00:56:48
P-A4B173F2,control,9,s16,reject,True,reject,override,approve,2,14443,17083,,2026-03-19T00:57:31
P-A4B173F2,control,10,s10,approve,True,approve,accept,,3,7656,10500,,2026-03-19T00:58:32
P-A4B173F2,control,11,s12,approve,True,approve,override,reject,1,22569,23965,,2026-03-19T00:59:12
P-A4B173F2,control,12,s05,approve,False,reject,override,reject,4,19253,21068,,2026-03-19T01:00:04
P-A4B173F2,control,13,s19,approve,True,approve,accept,,4,8297,11237,,2026-03-19T01:00:46
P-A4B173F2,control,14,s13,approve,False,reject,override,reject,4,12470,14774,,2026-03-19T01:01:20
P-A4B173F2,control,15,s14,reject,True,reject,override,approve,3,14413,17500,,2026-03-19T01:02:17
P-A4B173F2,control,16,s21,approve,True,approve,accept,,3,8746,12505,,2026-03-19T01:02:48
P-A4B173F2,control,17,s20,reject,False,approve,override,approve,3,10398,12485,,2026-03-19T01:03:50
P-0637F846,control,3,s07,approve,False,reject,accept,,3,9767,11950,,2026-03-15T18:36:06
P-0637F846,control,4,s13,reject,True,reject,accept,,5,7363,11318,,2026-03-15T18:36:53
P-0637F846,control,5,s03,reject,True,reject,accept,,3,10883,12482,,2026-03-15T18:37:39
P-0637F846,control,6,s08,approve,True,approve,accept,,3,6654,9616,,2026-03-15T18:38:21
P-0637F846,control,7,s14,approve,False,reject,accept,,2,12726,16247,,2026-03-15T18:39:18
P-0637F846,control,8,s05,approve,True,approve,accept,,4,6718,7933,,2026-03-15T18:39:48
P-0637F846,control,9,s04,approve,False,reject,override,reject,1,16451,19705,,2026-03-15T18:40:35
P-0637F846,control,10,s20,reject,True,reject,accept,,5,6518,8833,,2026-03-15T18:41:24
P-0637F846,control,11,s21,approve,True,approve,accept,,4,7243,8395,,2026-03-15T18:42:05
P-0637F846,control,12,s15,approve,True,approve,accept,,5,9246,12275,,2026-03-15T18:42:50
